01-01-2018,00 - 01,26.31
01-01-2018,01 - 02,26.43
01-01-2018,02 - 03,26.09
01-01-2018,03 - 04,24.63
01-01-2018,04 - 05,24.67
01-01-2018,05 - 06,24.24
01-01-2018,06 - 07,24.18
01-01-2018,07 - 08,24.29
01-01-2018,08 - 09,24.15
01-01-2018,09 - 10,24.26
01-01-2018,10 - 11,25.84
01-01-2018,11 - 12,26.06
01-01-2018,12 - 13,25.86
01-01-2018,13 - 14,25.96
01-01-2018,14 - 15,26.03
01-01-2018,15 - 16,26.43
01-01-2018,16 - 17,27.02
01-01-2018,17 - 18,27.43
01-01-2018,18 - 19,27.3
01-01-2018,19 - 20,26.97
01-01-2018,20 - 21,26.69
01-01-2018,21 - 22,26.45
01-01-2018,22 - 23,26.07
01-01-2018,23 - 00,25.02
02-01-2018,00 - 01,25.74
02-01-2018,01 - 02,25.13
02-01-2018,02 - 03,25.4
02-01-2018,03 - 04,25.49
02-01-2018,04 - 05,25.66
02-01-2018,05 - 06,26.75
02-01-2018,06 - 07,27.69
02-01-2018,07 - 08,30.73
02-01-2018,08 - 09,33.77
02-01-2018,09 - 10,34.04
02-01-2018,10 - 11,35.07
02-01-2018,11 - 12,35.24
02-01-2018,12 - 13,34.57
02-01-2018,13 - 14,34.1
02-01-2018,14 - 15,36.02
02-01-2018,15 - 16,38.06
02-01-2018,16 - 17,41.68
02-01-2018,17 - 18,42.4
02-01-2018,18 - 19,39.05
02-01-2018,19 - 20,35.02
02-01-2018,20 - 21,30.88
02-01-2018,21 - 22,28.81
02-01-2018,22 - 23,27.95
02-01-2018,23 - 00,27.55
03-01-2018,00 - 01,27.05
03-01-2018,01 - 02,26.52
03-01-2018,02 - 03,25.96
03-01-2018,03 - 04,25.52
03-01-2018,04 - 05,25.8
03-01-2018,05 - 06,26.68
03-01-2018,06 - 07,27.65
03-01-2018,07 - 08,28.52
03-01-2018,08 - 09,28.83
03-01-2018,09 - 10,28.89
03-01-2018,10 - 11,29.09
03-01-2018,11 - 12,29.14
03-01-2018,12 - 13,29.22
03-01-2018,13 - 14,29.49
03-01-2018,14 - 15,29.85
03-01-2018,15 - 16,30.5
03-01-2018,16 - 17,31.11
03-01-2018,17 - 18,31.43
03-01-2018,18 - 19,30.78
03-01-2018,19 - 20,30.14
03-01-2018,20 - 21,29.37
03-01-2018,21 - 22,28.93
03-01-2018,22 - 23,28.12
03-01-2018,23 - 00,27.31
04-01-2018,00 - 01,27.05
04-01-2018,01 - 02,26.78
04-01-2018,02 - 03,26.47
04-01-2018,03 - 04,26.49
04-01-2018,04 - 05,26.59
04-01-2018,05 - 06,26.97
04-01-2018,06 - 07,28.02
04-01-2018,07 - 08,30.59
04-01-2018,08 - 09,33.44
04-01-2018,09 - 10,35.49
04-01-2018,10 - 11,37.56
04-01-2018,11 - 12,36.07
04-01-2018,12 - 13,35.63
04-01-2018,13 - 14,35.43
04-01-2018,14 - 15,35.93
04-01-2018,15 - 16,38.03
04-01-2018,16 - 17,39.71
04-01-2018,17 - 18,39.03
04-01-2018,18 - 19,37.23
04-01-2018,19 - 20,32.9
04-01-2018,20 - 21,30.98
04-01-2018,21 - 22,30.49
04-01-2018,22 - 23,29.72
04-01-2018,23 - 00,28.07
05-01-2018,00 - 01,27.88
05-01-2018,01 - 02,26.91
05-01-2018,02 - 03,26.44
05-01-2018,03 - 04,26.45
05-01-2018,04 - 05,26.83
05-01-2018,05 - 06,27.63
05-01-2018,06 - 07,28.62
05-01-2018,07 - 08,30.45
05-01-2018,08 - 09,32.91
05-01-2018,09 - 10,34.01
05-01-2018,10 - 11,34.79
05-01-2018,11 - 12,34.31
05-01-2018,12 - 13,33.91
05-01-2018,13 - 14,34.23
05-01-2018,14 - 15,33.91
05-01-2018,15 - 16,35.11
05-01-2018,16 - 17,38.06
05-01-2018,17 - 18,39.43
05-01-2018,18 - 19,37.57
05-01-2018,19 - 20,33.71
05-01-2018,20 - 21,31.97
05-01-2018,21 - 22,31.64
05-01-2018,22 - 23,30.61
05-01-2018,23 - 00,29.66
06-01-2018,00 - 01,29.45
06-01-2018,01 - 02,28.55
06-01-2018,02 - 03,28.18
06-01-2018,03 - 04,28
06-01-2018,04 - 05,28.15
06-01-2018,05 - 06,28.7
06-01-2018,06 - 07,29.49
06-01-2018,07 - 08,30.37
06-01-2018,08 - 09,30.49
06-01-2018,09 - 10,31.38
06-01-2018,10 - 11,32.94
06-01-2018,11 - 12,34.23
06-01-2018,12 - 13,33.34
06-01-2018,13 - 14,32.55
06-01-2018,14 - 15,32.42
06-01-2018,15 - 16,33.93
06-01-2018,16 - 17,36.83
06-01-2018,17 - 18,39.03
06-01-2018,18 - 19,35.84
06-01-2018,19 - 20,32.41
06-01-2018,20 - 21,31.07
06-01-2018,21 - 22,30.72
06-01-2018,22 - 23,29.98
06-01-2018,23 - 00,29.03
07-01-2018,00 - 01,27.89
07-01-2018,01 - 02,27.2
07-01-2018,02 - 03,26.62
07-01-2018,03 - 04,26.59
07-01-2018,04 - 05,26.57
07-01-2018,05 - 06,27.13
07-01-2018,06 - 07,27.41
07-01-2018,07 - 08,27.68
07-01-2018,08 - 09,27.93
07-01-2018,09 - 10,28.33
07-01-2018,10 - 11,28.79
07-01-2018,11 - 12,28.95
07-01-2018,12 - 13,28.96
07-01-2018,13 - 14,28.27
07-01-2018,14 - 15,28.29
07-01-2018,15 - 16,28.61
07-01-2018,16 - 17,29.33
07-01-2018,17 - 18,30.88
07-01-2018,18 - 19,31.54
07-01-2018,19 - 20,31.12
07-01-2018,20 - 21,29.97
07-01-2018,21 - 22,28.94
07-01-2018,22 - 23,28.94
07-01-2018,23 - 00,27.75
08-01-2018,00 - 01,26.47
08-01-2018,01 - 02,25.41
08-01-2018,02 - 03,25.42
08-01-2018,03 - 04,25.59
08-01-2018,04 - 05,25.99
08-01-2018,05 - 06,27.75
08-01-2018,06 - 07,29.63
08-01-2018,07 - 08,33.53
08-01-2018,08 - 09,39.89
08-01-2018,09 - 10,38.76
08-01-2018,10 - 11,36.91
08-01-2018,11 - 12,35.54
08-01-2018,12 - 13,34.21
08-01-2018,13 - 14,34
08-01-2018,14 - 15,35.17
08-01-2018,15 - 16,36.95
08-01-2018,16 - 17,37.67
08-01-2018,17 - 18,37.27
08-01-2018,18 - 19,33.88
08-01-2018,19 - 20,31.31
08-01-2018,20 - 21,29.71
08-01-2018,21 - 22,28.92
08-01-2018,22 - 23,28.53
08-01-2018,23 - 00,28.11
09-01-2018,00 - 01,27.45
09-01-2018,01 - 02,26.91
09-01-2018,02 - 03,26.62
09-01-2018,03 - 04,26.89
09-01-2018,04 - 05,27.21
09-01-2018,05 - 06,28.18
09-01-2018,06 - 07,29
09-01-2018,07 - 08,32.04
09-01-2018,08 - 09,33.11
09-01-2018,09 - 10,32.9
09-01-2018,10 - 11,32.59
09-01-2018,11 - 12,32.82
09-01-2018,12 - 13,32.31
09-01-2018,13 - 14,32.05
09-01-2018,14 - 15,31.81
09-01-2018,15 - 16,31.91
09-01-2018,16 - 17,33.06
09-01-2018,17 - 18,33.99
09-01-2018,18 - 19,33.28
09-01-2018,19 - 20,31.65
