01-01-2014,00 - 01,28.53
01-01-2014,01 - 02,28.01
01-01-2014,02 - 03,27.16
01-01-2014,03 - 04,26.05
01-01-2014,04 - 05,25.16
01-01-2014,05 - 06,25.58
01-01-2014,06 - 07,26.13
01-01-2014,07 - 08,26.62
01-01-2014,08 - 09,26.67
01-01-2014,09 - 10,26.4
01-01-2014,10 - 11,27.55
01-01-2014,11 - 12,28.47
01-01-2014,12 - 13,28.66
01-01-2014,13 - 14,28.83
01-01-2014,14 - 15,29.07
01-01-2014,15 - 16,29.4
01-01-2014,16 - 17,31.48
01-01-2014,17 - 18,32.15
01-01-2014,18 - 19,31.71
01-01-2014,19 - 20,30.64
01-01-2014,20 - 21,29.31
01-01-2014,21 - 22,29
01-01-2014,22 - 23,28.41
01-01-2014,23 - 00,27.05
02-01-2014,00 - 01,27.2
02-01-2014,01 - 02,26.06
02-01-2014,02 - 03,25.38
02-01-2014,03 - 04,25.02
02-01-2014,04 - 05,25.78
02-01-2014,05 - 06,28
02-01-2014,06 - 07,29.23
02-01-2014,07 - 08,29.96
02-01-2014,08 - 09,30.6
02-01-2014,09 - 10,30.76
02-01-2014,10 - 11,30.99
02-01-2014,11 - 12,31.24
02-01-2014,12 - 13,31.12
02-01-2014,13 - 14,31.26
02-01-2014,14 - 15,31.44
02-01-2014,15 - 16,31.77
02-01-2014,16 - 17,32.45
02-01-2014,17 - 18,32.72
02-01-2014,18 - 19,32.35
02-01-2014,19 - 20,31.82
02-01-2014,20 - 21,31.02
02-01-2014,21 - 22,30.86
02-01-2014,22 - 23,30.42
02-01-2014,23 - 00,29.91
03-01-2014,00 - 01,28.2
03-01-2014,01 - 02,26.24
03-01-2014,02 - 03,24.82
03-01-2014,03 - 04,24.71
03-01-2014,04 - 05,25.42
03-01-2014,05 - 06,27.38
03-01-2014,06 - 07,29.28
03-01-2014,07 - 08,30.95
03-01-2014,08 - 09,31.44
03-01-2014,09 - 10,31.38
03-01-2014,10 - 11,31.06
03-01-2014,11 - 12,30.99
03-01-2014,12 - 13,30.86
03-01-2014,13 - 14,30.75
03-01-2014,14 - 15,30.65
03-01-2014,15 - 16,30.71
03-01-2014,16 - 17,31.01
03-01-2014,17 - 18,31.35
03-01-2014,18 - 19,30.94
03-01-2014,19 - 20,30.46
03-01-2014,20 - 21,29.72
03-01-2014,21 - 22,28.76
03-01-2014,22 - 23,28.49
03-01-2014,23 - 00,27.56
04-01-2014,00 - 01,26.52
04-01-2014,01 - 02,25.26
04-01-2014,02 - 03,24.61
04-01-2014,03 - 04,23.86
04-01-2014,04 - 05,24.28
04-01-2014,05 - 06,25.09
04-01-2014,06 - 07,26.18
04-01-2014,07 - 08,27.28
04-01-2014,08 - 09,27.8
04-01-2014,09 - 10,28.68
04-01-2014,10 - 11,28.9
04-01-2014,11 - 12,29.08
