01-01-2016,00 - 01,16.39
01-01-2016,01 - 02,16.04
01-01-2016,02 - 03,15.74
01-01-2016,03 - 04,15.57
01-01-2016,04 - 05,15.47
01-01-2016,05 - 06,15.75
01-01-2016,06 - 07,15.36
01-01-2016,07 - 08,15.37
01-01-2016,08 - 09,15.19
01-01-2016,09 - 10,15.39
01-01-2016,10 - 11,15.78
01-01-2016,11 - 12,16.15
01-01-2016,12 - 13,16.5
01-01-2016,13 - 14,16.72
01-01-2016,14 - 15,17.17
01-01-2016,15 - 16,18
01-01-2016,16 - 17,18.49
01-01-2016,17 - 18,18.8
01-01-2016,18 - 19,18.62
01-01-2016,19 - 20,17.92
01-01-2016,20 - 21,17.67
01-01-2016,21 - 22,17.37
01-01-2016,22 - 23,16.84
01-01-2016,23 - 00,16.23
02-01-2016,00 - 01,16.28
02-01-2016,01 - 02,15.85
02-01-2016,02 - 03,15.02
02-01-2016,03 - 04,13.18
02-01-2016,04 - 05,12.69
02-01-2016,05 - 06,12.94
02-01-2016,06 - 07,13.58
02-01-2016,07 - 08,14.37
02-01-2016,08 - 09,15.74
02-01-2016,09 - 10,15.74
02-01-2016,10 - 11,15.99
02-01-2016,11 - 12,16.07
02-01-2016,12 - 13,15.89
02-01-2016,13 - 14,16.01
02-01-2016,14 - 15,16.2
02-01-2016,15 - 16,16.78
02-01-2016,16 - 17,17.54
02-01-2016,17 - 18,17.92
02-01-2016,18 - 19,17.61
02-01-2016,19 - 20,16.96
02-01-2016,20 - 21,16.7
02-01-2016,21 - 22,16.14
02-01-2016,22 - 23,16.03
02-01-2016,23 - 00,15.46
03-01-2016,00 - 01,16.01
03-01-2016,01 - 02,15.59
03-01-2016,02 - 03,15.68
03-01-2016,03 - 04,15.55
03-01-2016,04 - 05,15.29
03-01-2016,05 - 06,15.58
03-01-2016,06 - 07,15.06
03-01-2016,07 - 08,15.52
03-01-2016,08 - 09,15.78
03-01-2016,09 - 10,16.23
03-01-2016,10 - 11,16.88
03-01-2016,11 - 12,17.58
03-01-2016,12 - 13,17.55
03-01-2016,13 - 14,17.18
03-01-2016,14 - 15,17.41
03-01-2016,15 - 16,17.47
03-01-2016,16 - 17,18.62
03-01-2016,17 - 18,19.17
03-01-2016,18 - 19,18.84
03-01-2016,19 - 20,18.34
03-01-2016,20 - 21,17.9
03-01-2016,21 - 22,17.52
03-01-2016,22 - 23,16.79
03-01-2016,23 - 00,15.67
04-01-2016,00 - 01,15.83
04-01-2016,01 - 02,15.56
04-01-2016,02 - 03,15.41
04-01-2016,03 - 04,15.44
04-01-2016,04 - 05,15.73
04-01-2016,05 - 06,16.22
04-01-2016,06 - 07,18.1
04-01-2016,07 - 08,20.2
04-01-2016,08 - 09,21.66
04-01-2016,09 - 10,20.97
04-01-2016,10 - 11,21.02
04-01-2016,11 - 12,20.74
04-01-2016,12 - 13,20.43
04-01-2016,13 - 14,20.42
04-01-2016,14 - 15,20.61
04-01-2016,15 - 16,20.95
04-01-2016,16 - 17,22.61
