01-01-2015,00 - 01,27.48
01-01-2015,01 - 02,26.68
01-01-2015,02 - 03,26.23
01-01-2015,03 - 04,25.95
01-01-2015,04 - 05,25.91
01-01-2015,05 - 06,26.24
01-01-2015,06 - 07,26.81
01-01-2015,07 - 08,26.82
01-01-2015,08 - 09,26.96
01-01-2015,09 - 10,26.74
01-01-2015,10 - 11,26.75
01-01-2015,11 - 12,26.77
01-01-2015,12 - 13,26.79
01-01-2015,13 - 14,26.59
01-01-2015,14 - 15,27.01
01-01-2015,15 - 16,27.62
01-01-2015,16 - 17,28.29
01-01-2015,17 - 18,28.34
01-01-2015,18 - 19,28.22
01-01-2015,19 - 20,27.91
01-01-2015,20 - 21,27.54
01-01-2015,21 - 22,27.13
01-01-2015,22 - 23,26.92
01-01-2015,23 - 00,25.96
02-01-2015,00 - 01,24.79
02-01-2015,01 - 02,22.23
02-01-2015,02 - 03,20.93
02-01-2015,03 - 04,18.57
02-01-2015,04 - 05,18.59
02-01-2015,05 - 06,24.55
02-01-2015,06 - 07,27.1
02-01-2015,07 - 08,28.34
02-01-2015,08 - 09,28.4
02-01-2015,09 - 10,28.38
02-01-2015,10 - 11,28.34
02-01-2015,11 - 12,28.4
02-01-2015,12 - 13,28.32
02-01-2015,13 - 14,28.22
02-01-2015,14 - 15,28.16
02-01-2015,15 - 16,28.34
02-01-2015,16 - 17,28.67
02-01-2015,17 - 18,28.75
02-01-2015,18 - 19,28.55
02-01-2015,19 - 20,28.44
02-01-2015,20 - 21,27.94
02-01-2015,21 - 22,27.51
02-01-2015,22 - 23,27.2
02-01-2015,23 - 00,26.09
03-01-2015,00 - 01,24.61
03-01-2015,01 - 02,24.11
03-01-2015,02 - 03,23.31
03-01-2015,03 - 04,23.33
03-01-2015,04 - 05,23.44
03-01-2015,05 - 06,24.28
03-01-2015,06 - 07,24.4
03-01-2015,07 - 08,26.36
03-01-2015,08 - 09,26.65
03-01-2015,09 - 10,27.5
03-01-2015,10 - 11,27.72
03-01-2015,11 - 12,27.77
03-01-2015,12 - 13,27.72
03-01-2015,13 - 14,27.71
03-01-2015,14 - 15,27.87
03-01-2015,15 - 16,28.4
03-01-2015,16 - 17,28.97
03-01-2015,17 - 18,29.4
03-01-2015,18 - 19,29.46
03-01-2015,19 - 20,28.98
03-01-2015,20 - 21,28.4
03-01-2015,21 - 22,27.96
03-01-2015,22 - 23,27.76
03-01-2015,23 - 00,27.22
04-01-2015,00 - 01,27.42
04-01-2015,01 - 02,27.08
04-01-2015,02 - 03,26.81
04-01-2015,03 - 04,26.57
04-01-2015,04 - 05,26.64
04-01-2015,05 - 06,27.02
04-01-2015,06 - 07,27.09
04-01-2015,07 - 08,27.16
04-01-2015,08 - 09,27.64
04-01-2015,09 - 10,28.03
04-01-2015,10 - 11,28.22
04-01-2015,11 - 12,28.28
04-01-2015,12 - 13,28.23
04-01-2015,13 - 14,28.25
04-01-2015,14 - 15,28.33
04-01-2015,15 - 16,28.66
04-01-2015,16 - 17,29.28
04-01-2015,17 - 18,29.68
04-01-2015,18 - 19,29.86
04-01-2015,19 - 20,29.71
04-01-2015,20 - 21,29.22
04-01-2015,21 - 22,28.88
04-01-2015,22 - 23,28.82
04-01-2015,23 - 00,28.05
05-01-2015,00 - 01,28.54
05-01-2015,01 - 02,28.43
05-01-2015,02 - 03,28.41
05-01-2015,03 - 04,28.37
05-01-2015,04 - 05,28.5
05-01-2015,05 - 06,29.32
05-01-2015,06 - 07,30.48
05-01-2015,07 - 08,32.96
05-01-2015,08 - 09,38.45
05-01-2015,09 - 10,40.19
05-01-2015,10 - 11,39.61
05-01-2015,11 - 12,39.64
05-01-2015,12 - 13,39.21
05-01-2015,13 - 14,39.72
05-01-2015,14 - 15,40.72
05-01-2015,15 - 16,42.11
05-01-2015,16 - 17,46.05
05-01-2015,17 - 18,48.72
05-01-2015,18 - 19,48.75
05-01-2015,19 - 20,46.02
05-01-2015,20 - 21,37.17
05-01-2015,21 - 22,34.35
05-01-2015,22 - 23,31.83
05-01-2015,23 - 00,29.73
06-01-2015,00 - 01,29.59
06-01-2015,01 - 02,29.28
06-01-2015,02 - 03,28.84
06-01-2015,03 - 04,28.55
06-01-2015,04 - 05,28.61
06-01-2015,05 - 06,29.11
06-01-2015,06 - 07,29.47
06-01-2015,07 - 08,30.18
06-01-2015,08 - 09,30.7
06-01-2015,09 - 10,30.52
06-01-2015,10 - 11,30.74
06-01-2015,11 - 12,30.55
06-01-2015,12 - 13,30.07
06-01-2015,13 - 14,29.97
06-01-2015,14 - 15,30.03
06-01-2015,15 - 16,30.57
06-01-2015,16 - 17,30.95
06-01-2015,17 - 18,30.94
06-01-2015,18 - 19,30.57
06-01-2015,19 - 20,29.95
06-01-2015,20 - 21,29.57
06-01-2015,21 - 22,29.15
06-01-2015,22 - 23,28
06-01-2015,23 - 00,27.34
07-01-2015,00 - 01,26.38
07-01-2015,01 - 02,26.15
07-01-2015,02 - 03,26.09
07-01-2015,03 - 04,26.21
07-01-2015,04 - 05,26.7
07-01-2015,05 - 06,27.99
07-01-2015,06 - 07,30.07
07-01-2015,07 - 08,33.25
07-01-2015,08 - 09,34.07
07-01-2015,09 - 10,33.22
07-01-2015,10 - 11,33.6
07-01-2015,11 - 12,33.35
07-01-2015,12 - 13,32.73
07-01-2015,13 - 14,32.53
07-01-2015,14 - 15,32.68
07-01-2015,15 - 16,33.11
07-01-2015,16 - 17,34.3
07-01-2015,17 - 18,34.03
07-01-2015,18 - 19,32.54
07-01-2015,19 - 20,31.03
07-01-2015,20 - 21,29.64
07-01-2015,21 - 22,28.89
07-01-2015,22 - 23,27.69
07-01-2015,23 - 00,26.87
08-01-2015,00 - 01,26.24
08-01-2015,01 - 02,25.4
08-01-2015,02 - 03,24.74
08-01-2015,03 - 04,24.57
08-01-2015,04 - 05,24.65
08-01-2015,05 - 06,26.14
08-01-2015,06 - 07,27.58
08-01-2015,07 - 08,29.04
08-01-2015,08 - 09,29.5
08-01-2015,09 - 10,29.38
08-01-2015,10 - 11,29.41
08-01-2015,11 - 12,29.56
08-01-2015,12 - 13,29.57
08-01-2015,13 - 14,29.65
08-01-2015,14 - 15,29.73
08-01-2015,15 - 16,30.09
08-01-2015,16 - 17,30.6
08-01-2015,17 - 18,30.68
08-01-2015,18 - 19,30.05
08-01-2015,19 - 20,29.6
08-01-2015,20 - 21,28.59
08-01-2015,21 - 22,27.9
08-01-2015,22 - 23,27.08
08-01-2015,23 - 00,26.11
09-01-2015,00 - 01,25.75
09-01-2015,01 - 02,25.28
09-01-2015,02 - 03,25.11
09-01-2015,03 - 04,25.1
09-01-2015,04 - 05,25.45
09-01-2015,05 - 06,26.39
09-01-2015,06 - 07,27.31
09-01-2015,07 - 08,28.95
09-01-2015,08 - 09,29.45
09-01-2015,09 - 10,29.08
09-01-2015,10 - 11,29.21
09-01-2015,11 - 12,29.21
09-01-2015,12 - 13,29.19
09-01-2015,13 - 14,28.85
09-01-2015,14 - 15,28.61
09-01-2015,15 - 16,28.69
09-01-2015,16 - 17,29.09
09-01-2015,17 - 18,29.5
09-01-2015,18 - 19,29.25
09-01-2015,19 - 20,28.7
09-01-2015,20 - 21,27.92
09-01-2015,21 - 22,27.38
09-01-2015,22 - 23,27.06
09-01-2015,23 - 00,26.35
10-01-2015,00 - 01,26.32
10-01-2015,01 - 02,26.12
10-01-2015,02 - 03,25.83
10-01-2015,03 - 04,25.79
10-01-2015,04 - 05,25.88
10-01-2015,05 - 06,25.71
10-01-2015,06 - 07,25.94
10-01-2015,07 - 08,26.46
10-01-2015,08 - 09,26.85
10-01-2015,09 - 10,27.05
10-01-2015,10 - 11,27.25
10-01-2015,11 - 12,27.01
10-01-2015,12 - 13,26.81
10-01-2015,13 - 14,26.62
10-01-2015,14 - 15,26.58
10-01-2015,15 - 16,26.71
10-01-2015,16 - 17,26.95
10-01-2015,17 - 18,27.29
10-01-2015,18 - 19,26.97
10-01-2015,19 - 20,26.63
10-01-2015,20 - 21,26.68
10-01-2015,21 - 22,26.46
10-01-2015,22 - 23,26.06
10-01-2015,23 - 00,25.63
11-01-2015,00 - 01,24.84
11-01-2015,01 - 02,24.09
11-01-2015,02 - 03,23.82
11-01-2015,03 - 04,23.22
11-01-2015,04 - 05,23.35
11-01-2015,05 - 06,23.65
11-01-2015,06 - 07,23.83
11-01-2015,07 - 08,24.41
11-01-2015,08 - 09,25.05
11-01-2015,09 - 10,25.83
11-01-2015,10 - 11,26.22
11-01-2015,11 - 12,26.54
11-01-2015,12 - 13,26.51
11-01-2015,13 - 14,26.38
11-01-2015,14 - 15,26.37
11-01-2015,15 - 16,26.71
11-01-2015,16 - 17,27.57
11-01-2015,17 - 18,27.94
11-01-2015,18 - 19,27.97
11-01-2015,19 - 20,27.76
11-01-2015,20 - 21,27.46
11-01-2015,21 - 22,27.1
11-01-2015,22 - 23,26.73
11-01-2015,23 - 00,26.24
12-01-2015,00 - 01,26.99
12-01-2015,01 - 02,26.83
12-01-2015,02 - 03,26.45
12-01-2015,03 - 04,26.36
12-01-2015,04 - 05,26.56
12-01-2015,05 - 06,27.44
12-01-2015,06 - 07,29.55
12-01-2015,07 - 08,34.29
12-01-2015,08 - 09,34.71
12-01-2015,09 - 10,34.03
12-01-2015,10 - 11,31.76
12-01-2015,11 - 12,30.35
12-01-2015,12 - 13,29.69
12-01-2015,13 - 14,29.65
12-01-2015,14 - 15,29.46
12-01-2015,15 - 16,29.83
12-01-2015,16 - 17,30.14
12-01-2015,17 - 18,30.81
12-01-2015,18 - 19,30.21
12-01-2015,19 - 20,28.95
12-01-2015,20 - 21,27.92
12-01-2015,21 - 22,27.57
12-01-2015,22 - 23,27.12
12-01-2015,23 - 00,26.42
13-01-2015,00 - 01,26.26
13-01-2015,01 - 02,26.07
13-01-2015,02 - 03,26.02
13-01-2015,03 - 04,25.95
13-01-2015,04 - 05,26.23
13-01-2015,05 - 06,27.1
13-01-2015,06 - 07,29.58
13-01-2015,07 - 08,32.81
13-01-2015,08 - 09,33.97
13-01-2015,09 - 10,32.07
13-01-2015,10 - 11,31.17
13-01-2015,11 - 12,30.01
13-01-2015,12 - 13,29.74
13-01-2015,13 - 14,29.64
13-01-2015,14 - 15,30.24
13-01-2015,15 - 16,31.75
13-01-2015,16 - 17,32.59
13-01-2015,17 - 18,34.05
13-01-2015,18 - 19,33.34
13-01-2015,19 - 20,31.37
13-01-2015,20 - 21,29.23
13-01-2015,21 - 22,28.55
13-01-2015,22 - 23,27.91
13-01-2015,23 - 00,26.5
14-01-2015,00 - 01,26.1
14-01-2015,01 - 02,25.82
14-01-2015,02 - 03,25.72
14-01-2015,03 - 04,25.73
14-01-2015,04 - 05,25.91
14-01-2015,05 - 06,26.6
14-01-2015,06 - 07,28.46
14-01-2015,07 - 08,30.83
14-01-2015,08 - 09,33.41
14-01-2015,09 - 10,32.16
14-01-2015,10 - 11,31.25
14-01-2015,11 - 12,30.89
14-01-2015,12 - 13,29.99
14-01-2015,13 - 14,29.91
14-01-2015,14 - 15,30.82
14-01-2015,15 - 16,32.78
14-01-2015,16 - 17,34.23
14-01-2015,17 - 18,35.47
14-01-2015,18 - 19,34.28
14-01-2015,19 - 20,31.05
14-01-2015,20 - 21,29.14
14-01-2015,21 - 22,28.49
14-01-2015,22 - 23,27.13
14-01-2015,23 - 00,26.31
15-01-2015,00 - 01,26.44
15-01-2015,01 - 02,26.03
15-01-2015,02 - 03,25.78
15-01-2015,03 - 04,25.8
15-01-2015,04 - 05,26.11
15-01-2015,05 - 06,26.82
15-01-2015,06 - 07,28.62
15-01-2015,07 - 08,30.04
15-01-2015,08 - 09,30.59
15-01-2015,09 - 10,29.62
15-01-2015,10 - 11,29.31
15-01-2015,11 - 12,28.93
15-01-2015,12 - 13,28.68
15-01-2015,13 - 14,28.59
15-01-2015,14 - 15,28.65
15-01-2015,15 - 16,28.83
15-01-2015,16 - 17,29.55
15-01-2015,17 - 18,30.21
15-01-2015,18 - 19,29.64
15-01-2015,19 - 20,28.55
15-01-2015,20 - 21,27.75
15-01-2015,21 - 22,27.3
15-01-2015,22 - 23,26.58
15-01-2015,23 - 00,25.85
16-01-2015,00 - 01,25.66
16-01-2015,01 - 02,25.22
16-01-2015,02 - 03,24.95
16-01-2015,03 - 04,24.65
16-01-2015,04 - 05,25.22
16-01-2015,05 - 06,26.38
16-01-2015,06 - 07,27.7
16-01-2015,07 - 08,29.07
16-01-2015,08 - 09,29.35
16-01-2015,09 - 10,29.09
16-01-2015,10 - 11,28.94
16-01-2015,11 - 12,28.78
16-01-2015,12 - 13,28.45
16-01-2015,13 - 14,28.37
16-01-2015,14 - 15,28.47
16-01-2015,15 - 16,28.8
16-01-2015,16 - 17,29.46
16-01-2015,17 - 18,30.35
16-01-2015,18 - 19,31.2
16-01-2015,19 - 20,29.16
16-01-2015,20 - 21,28.4
16-01-2015,21 - 22,28.22
16-01-2015,22 - 23,28.03
16-01-2015,23 - 00,27.34
17-01-2015,00 - 01,27.32
17-01-2015,01 - 02,26.93
17-01-2015,02 - 03,26.8
17-01-2015,03 - 04,26.82
17-01-2015,04 - 05,26.77
17-01-2015,05 - 06,26.88
17-01-2015,06 - 07,27.1
17-01-2015,07 - 08,27.96
17-01-2015,08 - 09,28.47
17-01-2015,09 - 10,29.09
17-01-2015,10 - 11,29.29
17-01-2015,11 - 12,29.1
17-01-2015,12 - 13,28.61
17-01-2015,13 - 14,28.24
17-01-2015,14 - 15,28.16
17-01-2015,15 - 16,28.58
17-01-2015,16 - 17,29.33
17-01-2015,17 - 18,30.39
17-01-2015,18 - 19,29.77
17-01-2015,19 - 20,28.94
17-01-2015,20 - 21,27.94
17-01-2015,21 - 22,27.67
17-01-2015,22 - 23,27.38
17-01-2015,23 - 00,26.7
18-01-2015,00 - 01,26.26
18-01-2015,01 - 02,25.97
18-01-2015,02 - 03,25.64
18-01-2015,03 - 04,25.68
18-01-2015,04 - 05,25.39
18-01-2015,05 - 06,25.79
18-01-2015,06 - 07,26.43
18-01-2015,07 - 08,26.78
18-01-2015,08 - 09,27.11
18-01-2015,09 - 10,27.46
18-01-2015,10 - 11,27.9
18-01-2015,11 - 12,28.24
18-01-2015,12 - 13,28.16
18-01-2015,13 - 14,27.89
18-01-2015,14 - 15,28.25
18-01-2015,15 - 16,29.24
18-01-2015,16 - 17,30.45
18-01-2015,17 - 18,32.32
18-01-2015,18 - 19,32.34
18-01-2015,19 - 20,30.93
18-01-2015,20 - 21,29.8
18-01-2015,21 - 22,29.66
18-01-2015,22 - 23,29.34
18-01-2015,23 - 00,28.47
19-01-2015,00 - 01,27.89
19-01-2015,01 - 02,27.67
19-01-2015,02 - 03,27.61
19-01-2015,03 - 04,27.7
19-01-2015,04 - 05,28.03
19-01-2015,05 - 06,29.16
19-01-2015,06 - 07,32.08
19-01-2015,07 - 08,38.7
19-01-2015,08 - 09,44.76
19-01-2015,09 - 10,40.41
19-01-2015,10 - 11,37.62
19-01-2015,11 - 12,36.19
19-01-2015,12 - 13,40.44
19-01-2015,13 - 14,42.68
19-01-2015,14 - 15,41.79
19-01-2015,15 - 16,36.55
19-01-2015,16 - 17,37.22
19-01-2015,17 - 18,42.89
19-01-2015,18 - 19,35.22
19-01-2015,19 - 20,31.97
19-01-2015,20 - 21,30.49
19-01-2015,21 - 22,29.88
19-01-2015,22 - 23,29.11
19-01-2015,23 - 00,28.6
20-01-2015,00 - 01,28.61
20-01-2015,01 - 02,28.21
20-01-2015,02 - 03,28.06
20-01-2015,03 - 04,28.02
20-01-2015,04 - 05,28.38
20-01-2015,05 - 06,29.55
20-01-2015,06 - 07,32
20-01-2015,07 - 08,44.42
20-01-2015,08 - 09,45.01
20-01-2015,09 - 10,44.05
20-01-2015,10 - 11,40.56
20-01-2015,11 - 12,38.96
20-01-2015,12 - 13,36.94
20-01-2015,13 - 14,37.36
20-01-2015,14 - 15,37.46
20-01-2015,15 - 16,38.97
20-01-2015,16 - 17,44.51
20-01-2015,17 - 18,45.26
20-01-2015,18 - 19,44.41
